key,value,timestamp,topic,partition,offset
b'BTC/EUR',"{""price"": 79603.9, ""pair"": ""BTC/EUR"", ""volume"": 0.00025297, ""timestamp"": ""2025-03-08T13:21:02.964168Z"", ""timestamp_ms"": 1741440062964}",1741440063189,trade,0,4024
b'BTC/USD',"{""price"": 86183.1, ""pair"": ""BTC/USD"", ""volume"": 0.00106057, ""timestamp"": ""2025-03-08T13:21:04.104287Z"", ""timestamp_ms"": 1741440064104}",1741440064339,trade,0,4025
b'BTC/USD',"{""price"": 86183.0, ""pair"": ""BTC/USD"", ""volume"": 0.00054822, ""timestamp"": ""2025-03-08T13:21:04.651015Z"", ""timestamp_ms"": 1741440064651}",1741440064879,trade,0,4026
b'BTC/USD',"{""price"": 86183.0, ""pair"": ""BTC/USD"", ""volume"": 0.001, ""timestamp"": ""2025-03-08T13:21:04.651015Z"", ""timestamp_ms"": 1741440064651}",1741440064880,trade,0,4027
b'ETH/EUR',"{""price"": 2002.51, ""pair"": ""ETH/EUR"", ""volume"": 0.01157994, ""timestamp"": ""2025-03-08T13:21:06.769033Z"", ""timestamp_ms"": 1741440066769}",1741440067015,trade,0,4028
b'BTC/EUR',"{""price"": 79603.8, ""pair"": ""BTC/EUR"", ""volume"": 0.00094216, ""timestamp"": ""2025-03-08T13:21:08.032627Z"", ""timestamp_ms"": 1741440068032}",1741440068254,trade,0,4029
b'BTC/EUR',"{""price"": 79556.9, ""pair"": ""BTC/EUR"", ""volume"": 0.03758, ""timestamp"": ""2025-03-08T13:21:09.221642Z"", ""timestamp_ms"": 1741440069221}",1741440069441,trade,0,4030
b'BTC/EUR',"{""price"": 79556.9, ""pair"": ""BTC/EUR"", ""volume"": 0.00025119, ""timestamp"": ""2025-03-08T13:21:10.019876Z"", ""timestamp_ms"": 1741440070019}",1741440070247,trade,0,4031
b'ETH/USD',"{""price"": 2167.0, ""pair"": ""ETH/USD"", ""volume"": 0.44340467, ""timestamp"": ""2025-03-08T13:21:11.274871Z"", ""timestamp_ms"": 1741440071274}",1741440071502,trade,0,4032
b'BTC/EUR',"{""price"": 79556.9, ""pair"": ""BTC/EUR"", ""volume"": 0.01051381, ""timestamp"": ""2025-03-08T13:21:12.709483Z"", ""timestamp_ms"": 1741440072709}",1741440072938,trade,0,4033
b'ETH/EUR',"{""price"": 2002.5, ""pair"": ""ETH/EUR"", ""volume"": 0.2862019, ""timestamp"": ""2025-03-08T13:21:13.469918Z"", ""timestamp_ms"": 1741440073469}",1741440073744,trade,0,4034
b'BTC/USD',"{""price"": 86180.0, ""pair"": ""BTC/USD"", ""volume"": 0.00116036, ""timestamp"": ""2025-03-08T13:21:17.120343Z"", ""timestamp_ms"": 1741440077120}",1741440077355,trade,0,4035
b'BTC/USD',"{""price"": 86180.0, ""pair"": ""BTC/USD"", ""volume"": 0.001, ""timestamp"": ""2025-03-08T13:21:17.120343Z"", ""timestamp_ms"": 1741440077120}",1741440077356,trade,0,4036
